query_number,query,results,status,exec_time_ms,enum_time_ms,memory_MB
0,MATCH (N0)=[ANY SHORTEST ?p :E*]=>(N3000) RETURN ?p LIMIT 100000,1,OK,81,99,44.79
1,MATCH (N0)=[SHORTEST 10 WALKS ?p :E{1..2}]=>(?n) RETURN ?p LIMIT 100000,4,OK,1,4,44.79
6,MATCH (N0)=[SHORTEST 10 WALKS ?p :E{1..4}]=>(?n) RETURN ?p LIMIT 100000,12,OK,1,4,44.79
11,MATCH (N0)=[SHORTEST 10 WALKS ?p :E{1..6}]=>(?n) RETURN ?p LIMIT 100000,28,OK,1,4,44.79
16,MATCH (N0)=[SHORTEST 10 WALKS ?p :E{1..8}]=>(?n) RETURN ?p LIMIT 100000,54,OK,1,4,44.79
21,MATCH (N0)=[SHORTEST 10 WALKS ?p :E{1..10}]=>(?n) RETURN ?p LIMIT 100000,84,OK,1,4,44.79
26,MATCH (N0)=[SHORTEST 10 WALKS ?p :E{1..12}]=>(?n) RETURN ?p LIMIT 100000,114,OK,1,4,44.79
31,MATCH (N0)=[SHORTEST 10 WALKS ?p :E{1..14}]=>(?n) RETURN ?p LIMIT 100000,144,OK,1,4,44.79
36,MATCH (N0)=[SHORTEST 10 WALKS ?p :E{1..16}]=>(?n) RETURN ?p LIMIT 100000,174,OK,2,5,44.79
41,MATCH (N0)=[SHORTEST 10 WALKS ?p :E{1..18}]=>(?n) RETURN ?p LIMIT 100000,204,OK,2,5,44.79
46,MATCH (N0)=[SHORTEST 10 WALKS ?p :E{1..20}]=>(?n) RETURN ?p LIMIT 100000,234,OK,2,5,44.79
51,MATCH (N0)=[SHORTEST 10 WALKS ?p :E{1..22}]=>(?n) RETURN ?p LIMIT 100000,264,OK,3,6,44.79
56,MATCH (N0)=[SHORTEST 10 WALKS ?p :E{1..24}]=>(?n) RETURN ?p LIMIT 100000,294,OK,4,6,44.79
61,MATCH (N0)=[SHORTEST 10 WALKS ?p :E{1..26}]=>(?n) RETURN ?p LIMIT 100000,324,OK,4,7,44.79
66,MATCH (N0)=[SHORTEST 10 WALKS ?p :E{1..28}]=>(?n) RETURN ?p LIMIT 100000,354,OK,5,8,44.79
71,MATCH (N0)=[SHORTEST 10 WALKS ?p :E{1..30}]=>(?n) RETURN ?p LIMIT 100000,384,OK,6,9,44.79
76,MATCH (N0)=[SHORTEST 10 WALKS ?p :E{1..32}]=>(?n) RETURN ?p LIMIT 100000,414,OK,6,10,44.79
81,MATCH (N0)=[SHORTEST 10 WALKS ?p :E{1..34}]=>(?n) RETURN ?p LIMIT 100000,444,OK,7,11,44.79
86,MATCH (N0)=[SHORTEST 10 WALKS ?p :E{1..36}]=>(?n) RETURN ?p LIMIT 100000,474,OK,7,12,44.79
91,MATCH (N0)=[SHORTEST 10 WALKS ?p :E{1..38}]=>(?n) RETURN ?p LIMIT 100000,504,OK,8,13,44.79
96,MATCH (N0)=[SHORTEST 10 WALKS ?p :E{1..40}]=>(?n) RETURN ?p LIMIT 100000,534,OK,9,14,45.04
101,MATCH (N0)=[SHORTEST 10 WALKS ?p :E{1..42}]=>(?n) RETURN ?p LIMIT 100000,564,OK,10,15,46.05
106,MATCH (N0)=[SHORTEST 10 WALKS ?p :E{1..44}]=>(?n) RETURN ?p LIMIT 100000,594,OK,11,16,47.07
111,MATCH (N0)=[SHORTEST 10 WALKS ?p :E{1..46}]=>(?n) RETURN ?p LIMIT 100000,624,OK,12,17,47.83
116,MATCH (N0)=[SHORTEST 10 WALKS ?p :E{1..48}]=>(?n) RETURN ?p LIMIT 100000,654,OK,14,18,48.59
121,MATCH (N0)=[SHORTEST 10 WALKS ?p :E{1..50}]=>(?n) RETURN ?p LIMIT 100000,684,OK,14,19,49.61
126,MATCH (N0)=[SHORTEST 10 WALKS ?p :E{1..52}]=>(?n) RETURN ?p LIMIT 100000,714,OK,16,20,50.12
131,MATCH (N0)=[SHORTEST 10 WALKS ?p :E{1..54}]=>(?n) RETURN ?p LIMIT 100000,744,OK,18,22,50.37
136,MATCH (N0)=[SHORTEST 10 WALKS ?p :E{1..56}]=>(?n) RETURN ?p LIMIT 100000,774,OK,17,21,50.62
141,MATCH (N0)=[SHORTEST 10 WALKS ?p :E{1..58}]=>(?n) RETURN ?p LIMIT 100000,804,OK,21,26,50.88
146,MATCH (N0)=[SHORTEST 10 WALKS ?p :E{1..60}]=>(?n) RETURN ?p LIMIT 100000,834,OK,21,27,51.13
151,MATCH (N0)=[SHORTEST 10 WALKS ?p :E{1..62}]=>(?n) RETURN ?p LIMIT 100000,864,OK,22,28,51.13
156,MATCH (N0)=[SHORTEST 10 WALKS ?p :E{1..64}]=>(?n) RETURN ?p LIMIT 100000,894,OK,25,29,51.13
161,MATCH (N0)=[SHORTEST 10 WALKS ?p :E{1..66}]=>(?n) RETURN ?p LIMIT 100000,924,OK,26,31,51.64
166,MATCH (N0)=[SHORTEST 10 WALKS ?p :E{1..68}]=>(?n) RETURN ?p LIMIT 100000,954,OK,28,34,52.67
171,MATCH (N0)=[SHORTEST 10 WALKS ?p :E{1..70}]=>(?n) RETURN ?p LIMIT 100000,984,OK,30,35,53.96
176,MATCH (N0)=[SHORTEST 10 WALKS ?p :E{1..72}]=>(?n) RETURN ?p LIMIT 100000,1014,OK,32,38,54.99
181,MATCH (N0)=[SHORTEST 10 WALKS ?p :E{1..74}]=>(?n) RETURN ?p LIMIT 100000,1044,OK,34,39,55.76
186,MATCH (N0)=[SHORTEST 10 WALKS ?p :E{1..76}]=>(?n) RETURN ?p LIMIT 100000,1074,OK,37,43,56.79
191,MATCH (N0)=[SHORTEST 10 WALKS ?p :E{1..78}]=>(?n) RETURN ?p LIMIT 100000,1104,OK,39,45,57.56
196,MATCH (N0)=[SHORTEST 10 WALKS ?p :E{1..80}]=>(?n) RETURN ?p LIMIT 100000,1134,OK,41,47,58.08
